Message Payload in SQS,Log Message in CloudWatch,Query Start Time,Query End Time
"{""clientId"":""CELADEV03"",""cid"":""123"",""bid"":""1"",""type"":""BID_AVAILABLE""}",27763 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715330092,1614715390092
"{""clientId"":""CELADEV03"",""cid"":""183"",""bid"":""1"",""type"":""BID_AVAILABLE""}",28263 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715381905,1614715441905
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""79"",""type"":""BID_AVAILABLE""}",22596 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715388309,1614715448309
"{""clientId"":""CELADEV03"",""cid"":""118"",""bid"":""4"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715384741,1614715444741
"{""clientId"":""CELADEV03"",""cid"":""118"",""bid"":""11"",""type"":""BID_AVAILABLE""}",21528 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715458924,1614715518924
"{""clientId"":""CELADEV03"",""cid"":""31"",""bid"":""18"",""type"":""BID_AVAILABLE""}",33122 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715447991,1614715507991
"{""clientId"":""CELADEV03"",""cid"":""127"",""bid"":""1"",""type"":""BID_AVAILABLE""}",53978 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715449616,1614715509616
"{""clientId"":""CELADEV03"",""cid"":""70"",""bid"":""2"",""type"":""BID_AVAILABLE""}",52657 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715472764,1614715532764
"{""clientId"":""CELADEV03"",""cid"":""210"",""bid"":""1"",""type"":""BID_AVAILABLE""}",47417 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715468440,1614715528440
"{""clientId"":""CELADEV03"",""cid"":""197"",""bid"":""2"",""type"":""BID_AVAILABLE""}",55262 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715314744,1614715374744
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""89"",""type"":""BID_AVAILABLE""}",107093 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715320468,1614715380468
"{""clientId"":""CELADEV03"",""cid"":""140"",""bid"":""1"",""type"":""BID_AVAILABLE""}",113259 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715356039,1614715416039
"{""clientId"":""CELADEV03"",""cid"":""198"",""bid"":""2"",""type"":""BID_AVAILABLE""}",109914 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715316604,1614715376604
"{""clientId"":""CELADEV03"",""cid"":""127"",""bid"":""6"",""type"":""BID_AVAILABLE""}",183866 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715386681,1614715446681
"{""clientId"":""CELADEV03"",""cid"":""50"",""bid"":""5"",""type"":""BID_AVAILABLE""}",173084 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715376963,1614715436963
"{""clientId"":""CELADEV03"",""cid"":""186"",""bid"":""1"",""type"":""BID_AVAILABLE""}",174667 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715379068,1614715439068
"{""clientId"":""CELADEV03"",""cid"":""200"",""bid"":""2"",""type"":""BID_AVAILABLE""}",197718 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715402529,1614715462529
"{""clientId"":""CELADEV03"",""cid"":""132"",""bid"":""1"",""type"":""BID_AVAILABLE""}",193403 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715404131,1614715464131
"{""clientId"":""CELADEV03"",""cid"":""116"",""bid"":""2"",""type"":""BID_AVAILABLE""}",39774 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715397344,1614715457344
"{""clientId"":""CELADEV03"",""cid"":""139"",""bid"":""1"",""type"":""BID_AVAILABLE""}",45590 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715658830,1614715718830
"{""clientId"":""CELADEV03"",""cid"":""52"",""bid"":""2"",""type"":""BID_AVAILABLE""}",80984 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715462488,1614715522488
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""92"",""type"":""BID_AVAILABLE""}",41784 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715456080,1614715516080
"{""clientId"":""CELADEV03"",""cid"":""106"",""bid"":""3"",""type"":""BID_AVAILABLE""}",111635 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715473708,1614715533708
"{""clientId"":""CELADEV03"",""cid"":""197"",""bid"":""3"",""type"":""BID_AVAILABLE""}",102122 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715477594,1614715537594
"{""clientId"":""CELADEV03"",""cid"":""69"",""bid"":""1"",""type"":""BID_AVAILABLE""}",104027 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715478044,1614715538044
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""81"",""type"":""BID_AVAILABLE""}",127535 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715497184,1614715557184
"{""clientId"":""CELADEV03"",""cid"":""204"",""bid"":""1"",""type"":""BID_AVAILABLE""}",129155 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715461881,1614715521881
"{""clientId"":""CELADEV03"",""cid"":""207"",""bid"":""1"",""type"":""BID_AVAILABLE""}",122319 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715521209,1614715581209
"{""clientId"":""CELADEV03"",""cid"":""151"",""bid"":""1"",""type"":""BID_AVAILABLE""}",383847 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715517504,1614715577504
"{""clientId"":""CELADEV03"",""cid"":""70"",""bid"":""4"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715444818,1614715504818
"{""clientId"":""CELADEV03"",""cid"":""120"",""bid"":""7"",""type"":""BID_AVAILABLE""}",187475 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715446251,1614715506251
"{""clientId"":""CELADEV03"",""cid"":""155"",""bid"":""1"",""type"":""BID_AVAILABLE""}",181033 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715445765,1614715505765
"{""clientId"":""CELADEV03"",""cid"":""220"",""bid"":""2"",""type"":""BID_AVAILABLE""}",198662 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715459373,1614715519373
"{""clientId"":""CELADEV03"",""cid"":""194"",""bid"":""1"",""type"":""BID_AVAILABLE""}",202538 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715475474,1614715535474
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""90"",""type"":""BID_AVAILABLE""}",202987 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715478970,1614715538970
